Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
109	126	0	1.50137895	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
110	127	0	1.51515307	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
111	128	0	1.52892719	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
112	130	0	1.54270131	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
113	131	0	1.55647543	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
114	132	0	1.57024955	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
115	133	0	1.58402367	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
116	135	0	1.59779779	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
117	136	0	1.6115719	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
118	137	0	1.62534602	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
119	138	0	1.63912014	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
120	140	0	1.65289426	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
121	141	0	1.66666838	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
122	142	0	1.6804425	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
123	144	0	1.69421662	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
124	145	0	1.70799074	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
125	146	0	1.72176486	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
126	147	0	1.73553897	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
127	149	0	1.74931309	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
128	150	0	1.76308721	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
129	151	0	1.77686133	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
130	152	0	1.79063545	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
131	154	0	1.80440957	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
132	155	0	1.81818369	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
133	156	0	1.83195781	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
134	157	0	1.84573192	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
135	159	0	1.85950604	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
136	160	0	1.87328016	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
137	161	0	1.88705428	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
138	162	0	1.9008284	0.05	0.05	0.05	0.05	0	0.0005	100	0	0	0	3
